Position Zeitstempel
3.6126 474.377
10.1093 474.487
16.6061 474.596
23.0879 474.705
29.5847 474.814
36.0814 474.923
42.5633 475.033
49.06 475.142
55.5567 475.251
62.0386 475.36
68.5353 475.469
75.0321 475.579
81.5139 475.688
88.0107 475.797
94.5074 475.906
101.004 476.015
107.486 476.125
113.983 476.234
120.479 476.343
126.991 476.452
133.458 476.561
139.955 476.671
146.452 476.78
152.933 476.889
159.43 476.998
165.927 477.107
172.409 477.217
178.905 477.326
185.402 477.435
191.884 477.544
198.381 477.653
204.878 477.763
211.374 477.872
217.856 477.981
224.353 478.09
230.85 478.199
237.331 478.309
243.828 478.418
250.325 478.527
256.807 478.636
263.304 478.745
269.8 478.855
276.297 478.964
282.779 479.073
289.276 479.182
295.772 479.291
302.254 479.401
308.751 479.51
315.248 479.619
321.744 479.728
328.226 479.837
334.723 479.947
341.22 480.056
347.702 480.165
354.198 480.274
360.695 480.383
367.177 480.493
373.674 480.602
380.17 480.711
386.652 480.82
393.149 480.929
399.646 481.039
406.142 481.148
412.624 481.257
419.121 481.366
425.618 481.475
432.1 481.585
438.596 481.694
445.093 481.803
451.575 481.912
458.072 482.021
464.568 482.131
471.065 482.24
477.547 482.349
484.044 482.458
490.541 482.567
497.037 482.677
503.519 482.786
510.016 482.895
516.498 483.004
522.994 483.113
529.491 483.223
535.988 483.332
542.485 483.441
548.967 483.55
555.463 483.659
561.945 483.769
568.442 483.878
574.939 483.987
581.435 484.096
587.917 484.205
594.414 484.315
600.911 484.424
607.393 484.533
613.889 484.642
620.386 484.751
626.868 484.861
633.365 484.97
639.861 485.079
646.358 485.188
652.84 485.297
659.337 485.407
665.833 485.516
672.315 485.625
678.812 485.734
685.309 485.843
691.805 485.953
698.287 486.062
704.784 486.171
711.281 486.28
717.763 486.389
724.259 486.499
730.756 486.608
737.253 486.717
743.735 486.826
750.231 486.935
756.728 487.044
763.21 487.154
769.707 487.263
776.204 487.372
782.7 487.481
789.182 487.59
795.679 487.7
802.161 487.809
808.657 487.918
815.154 488.027
821.651 488.136
828.133 488.246
834.63 488.355
841.126 488.464
847.608 488.573
854.105 488.682
860.602 488.792
867.083 488.901
873.58 489.01
880.077 489.119
886.574 489.228
893.056 489.338
899.552 489.447
906.049 489.556
912.546 489.665
919.028 489.774
925.524 489.884
932.021 489.993
938.503 490.102
945 490.211
951.496 490.32
957.978 490.43
964.475 490.539
970.972 490.648
977.454 490.757
983.95 490.866
990.447 490.976
996.944 491.085
1003.43 491.194
1009.92 491.303
1016.42 491.412
1022.9 491.522
1029.4 491.631
1035.89 491.74
1042.39 491.849
1048.87 491.958
1055.37 492.068
1061.87 492.177
1068.35 492.286
1074.85 492.395
1081.34 492.504
1087.82 492.614
1094.32 492.723
1100.82 492.832
1107.3 492.941
1113.8 493.05
1120.29 493.16
1126.79 493.269
1133.27 493.378
1137 493.487
Position Zeitstempel
3.6126 1506.3
10.1093 1506.41
16.5912 1506.52
23.0879 1506.63
29.5847 1506.73
36.0814 1506.84
42.5633 1506.95
49.06 1507.06
55.5567 1507.17
62.0386 1507.28
68.5353 1507.39
75.0321 1507.5
81.5288 1507.61
88.0107 1507.72
94.5074 1507.83
101.004 1507.94
107.486 1508.04
113.983 1508.15
120.479 1508.26
126.961 1508.37
133.458 1508.48
139.955 1508.59
146.452 1508.7
152.933 1508.81
159.43 1508.92
165.927 1509.03
172.409 1509.14
178.905 1509.25
185.402 1509.36
191.884 1509.46
198.381 1509.57
204.878 1509.68
211.374 1509.79
217.856 1509.9
224.353 1510.01
230.85 1510.12
237.331 1510.23
243.828 1510.34
250.325 1510.45
256.807 1510.56
263.304 1510.67
269.8 1510.77
276.297 1510.88
282.779 1510.99
289.276 1511.1
295.772 1511.21
302.254 1511.32
308.751 1511.43
315.248 1511.54
321.73 1511.65
328.226 1511.76
334.723 1511.87
341.205 1511.98
347.702 1512.09
354.198 1512.19
360.695 1512.3
367.177 1512.41
373.674 1512.52
380.17 1512.63
386.652 1512.74
393.149 1512.85
399.646 1512.96
406.128 1513.07
412.624 1513.18
419.121 1513.29
425.618 1513.4
432.1 1513.5
438.596 1513.61
445.093 1513.72
451.575 1513.83
458.072 1513.94
464.568 1514.05
471.05 1514.16
477.547 1514.27
484.044 1514.38
490.541 1514.49
497.037 1514.6
503.519 1514.71
510.016 1514.81
516.498 1514.92
522.994 1515.03
529.491 1515.14
535.973 1515.25
542.47 1515.36
548.967 1515.47
555.463 1515.58
561.96 1515.69
568.442 1515.8
574.939 1515.91
581.42 1516.02
587.917 1516.13
594.414 1516.23
600.896 1516.34
607.393 1516.45
613.889 1516.56
620.386 1516.67
626.868 1516.78
633.365 1516.89
639.861 1517
646.358 1517.11
652.899 1517.22
659.396 1517.33
665.893 1517.44
672.375 1517.55
678.871 1517.66
685.368 1517.76
691.85 1517.87
698.347 1517.98
704.844 1518.09
711.34 1518.2
717.837 1518.31
724.319 1518.42
730.875 1518.53
737.357 1518.64
743.854 1518.75
750.35 1518.86
756.832 1518.97
763.329 1519.08
769.826 1519.18
