X Y Z Distanz Orientierung Zeitstempel
0 0 0 0 55 5804.94
0 0 0 0 55.1 5804.94
0 0 0 0 55.2 5804.94
0 0 0 0 55.3 5804.94
0 0 0 0 55.4 5804.94
0 0 0 0 55.5 5804.94
0 0 0 0 55.6 5804.94
0 0 0 0 55.7 5804.94
0 0 0 0 55.8 5804.94
0 0 0 0 55.9 5804.94
0 0 0 0 56 5804.94
0 0 0 0 56.1 5804.94
0 0 0 0 56.2 5804.94
0 0 0 0 56.3 5804.94
0 0 0 0 56.4 5804.94
0 0 0 0 56.5 5804.94
0 0 0 0 56.6 5804.94
0 0 0 0 56.7 5804.94
0 0 0 0 56.8 5804.94
0 0 0 0 56.9 5804.94
0 0 0 0 57 5804.94
0 0 0 0 57.1 5804.94
0 0 0 0 57.2 5804.94
0 0 0 0 57.3 5804.94
0 0 0 0 57.4 5804.94
0 0 0 0 57.5 5804.94
0 0 0 0 57.6 5804.94
0 0 0 0 57.7 5804.94
0 0 0 0 57.8 5804.94
0 0 0 0 57.9 5804.94
0 0 0 0 58 5804.94
0 0 0 0 58.1 5804.94
0 0 0 0 58.2 5804.94
0 0 0 0 58.3 5804.94
0 0 0 0 58.4 5804.94
0 0 0 0 58.5 5804.94
0 0 0 0 58.6 5804.94
0 0 0 0 58.7 5804.94
0 0 0 0 58.8 5804.94
0 0 0 0 58.9 5804.94
0 0 0 0 59 5804.94
948.511 1584.85 0 1847 59.1 5804.94
957.52 1606.26 0 1870 59.2 5804.94
0 0 0 2891 59.3 5804.94
0 0 0 0 59.4 5804.94
915.092 1553.52 0 1803 59.5 5804.94
901.246 1536.14 0 1781 59.6 5804.94
902.6 1544.61 0 1789 59.7 5804.94
896.885 1541 0 1783 59.8 5804.94
897.203 1547.76 0 1789 59.9 5804.94
897.5 1554.52 0 1795 60 5804.94
890.299 1548.28 0 1786 60.1 5804.94
878.65 1534.21 0 1768 60.2 5804.94
880.43 1543.56 0 1777 60.3 5804.94
873.783 1538.14 0 1769 60.4 5804.94
869.62 1537.05 0 1766 60.5 5804.94
871.354 1546.4 0 1775 60.6 5804.94
871.101 1552.28 0 1780 60.7 5804.94
861.072 1540.71 0 1765 60.8 5804.94
866.163 1556.19 0 1781 60.9 5804.94
862.961 1556.82 0 1780 61 5804.94
862.176 1561.83 0 1784 61.1 5804.94
862.821 1569.47 0 1791 61.2 5804.94
853.357 1558.69 0 1777 61.3 5804.94
854.944 1568.08 0 1786 61.4 5804.94
843.617 1553.75 0 1768 61.5 5804.94
850.892 1573.69 0 1789 61.6 5804.94
843.403 1566.37 0 1779 61.7 5804.94
846.338 1578.41 0 1791 61.8 5804.94
845.466 1583.42 0 1795 61.9 5804.94
837.068 1574.3 0 1783 62 5804.94
819.813 1548.36 0 1752 62.1 5804.94
802.185 1521.48 0 1720 62.2 5804.94
784.189 1493.66 0 1687 62.3 5804.94
758.879 1451.6 0 1638 62.4 5804.94
746.186 1433.41 0 1616 62.5 5804.94
736.78 1421.39 0 1601 62.6 5804.94
0 0 0 1547 62.7 5804.94
0 0 0 0 62.8 5804.94
0 0 0 0 62.9 5804.94
0 0 0 0 63 5804.94
0 0 0 0 63.1 5804.94
766.943 1518.29 0 1701 63.2 5804.94
762.944 1516.94 0 1698 63.3 5804.94
746.862 1491.45 0 1668 63.4 5804.94
0 0 0 1667 63.5 5804.94
0 0 0 1674 63.6 5804.94
0 0 0 1682 63.7 5804.94
0 0 0 1641 63.8 5804.94
0 0 0 1648 63.9 5804.94
0 0 0 0 64 5804.94
0 0 0 1666 64.1 5804.94
0 0 0 1641 64.2 5804.94
0 0 0 0 64.3 5804.94
0 0 0 0 64.4 5804.94
0 0 0 0 64.5 5804.94
0 0 0 1257 64.6 5804.94
483.342 1022.52 0 1131 64.7 5804.94
385.756 819.773 0 906 64.8 5804.94
0 0 0 723 64.9 5804.94
0 0 0 573 65 5804.94
271.989 585.95 0 646 65.1 5804.94
237.829 514.71 0 567 65.2 5804.94
252.81 549.647 0 605 65.3 5804.94
246.855 539.177 0 593 65.4 5804.94
233.058 511.398 0 562 65.5 5804.94
250.754 552.785 0 607 65.6 5804.94
0 0 0 569 65.7 5804.94
248.003 551.833 0 605 65.8 5804.94
235.198 525.792 0 576 65.9 5804.94
0 0 0 561 66 5804.94
249.567 563.18 0 616 66.1 5804.94
236.074 535.251 0 585 66.2 5804.94
231.924 528.337 0 577 66.3 5804.94
235.806 539.738 0 589 66.4 5804.94
232.471 534.646 0 583 66.5 5804.94
233.523 539.64 0 588 66.6 5804.94
229.021 531.78 0 579 66.7 5804.94
235.577 549.643 0 598 66.8 5804.94
233.048 546.374 0 594 66.9 5804.94
228.968 539.416 0 586 67 5804.94
228.416 540.736 0 587 67.1 5804.94
226.309 538.368 0 584 67.2 5804.94
226.141 540.607 0 586 67.3 5804.94
229.424 551.157 0 597 67.4 5804.94
217.747 525.687 0 569 67.5 5804.94
223.307 541.784 0 586 67.6 5804.94
219.326 534.771 0 578 67.7 5804.94
224.06 549.041 0 593 67.8 5804.94
226.487 557.77 0 602 67.9 5804.94
224.015 554.456 0 598 68 5804.94
215.96 537.217 0 579 68.1 5804.94
215.022 537.593 0 579 68.2 5804.94
212.235 533.322 0 574 68.3 5804.94
229.342 579.251 0 623 68.4 5804.94
