Position Zeitstempel
3 12301.2
12 12301.3
24 12301.4
36 12301.5
48 12301.6
60 12301.7
72 12301.8
84 12301.9
95 12302
107 12302.1
119 12302.2
131 12302.3
143 12302.4
155 12302.5
167 12302.6
179 12302.7
191 12302.8
202 12302.9
214 12303
226 12303.1
238 12303.2
250 12303.3
262 12303.4
274 12303.5
286 12303.6
298 12303.7
310 12303.8
321 12303.9
333 12304
345 12304.1
357 12304.2
369 12304.3
381 12304.4
393 12304.5
405 12304.6
417 12304.7
428 12304.8
440 12304.9
452 12305
464 12305.1
476 12305.2
488 12305.3
500 12305.4
512 12305.5
524 12305.6
535 12305.7
547 12305.8
559 12305.9
571 12306
583 12306.1
595 12306.2
607 12306.3
619 12306.4
631 12306.5
643 12306.6
654 12306.7
666 12306.8
678 12306.9
690 12307
702 12307.1
714 12307.2
726 12307.3
738 12307.4
750 12307.5
761 12307.6
773 12307.7
785 12307.8
797 12307.9
809 12308
821 12308.1
833 12308.2
845 12308.3
857 12308.4
869 12308.5
880 12308.6
892 12308.7
904 12308.8
916 12308.9
928 12309
940 12309.1
952 12309.2
964 12309.3
976 12309.4
987 12309.5
999 12309.6
1011 12309.7
1023 12309.8
1035 12309.9
1047 12310
1059 12310.1
1071 12310.2
1083 12310.3
1094 12310.4
1106 12310.5
1118 12310.6
1130 12310.7
1136 12310.8
