Position Zeitstempel
10.0053 7218.81
20.0105 7223.31
30.0158 7227.87
40.0211 7232.46
50.0263 7237.07
60.0316 7241.66
70.0369 7246.2
80.0421 7250.77
90.0474 7255.42
100.053 7260.01
110.058 7264.66
120.063 7269.23
130.068 7273.7
140.074 7278.41
150.079 7282.93
160.084 7287.51
170.09 7292.15
180.095 7297.02
190.1 7301.59
200.105 7306.07
210.111 7310.63
220.116 7315.25
230.121 7319.84
240.126 7324.37
250.132 7328.92
260.137 7333.54
270.142 7338.12
280.147 7342.73
290.153 7347.32
300.158 7351.8
310.163 7356.43
320.169 7361.02
330.174 7365.53
340.179 7370.06
350.184 7374.66
360.19 7379.23
370.195 7383.83
380.2 7388.43
390.205 7393.01
400.211 7397.56
