Position Zeitstempel
10.0053 10150
20.0105 10154.4
30.0158 10158.8
40.0211 10163.2
50.0263 10167.6
60.0316 10172
70.0369 10176.4
80.0421 10180.8
90.0474 10185.2
100.053 10189.6
110.058 10194
120.063 10198.3
130.068 10202.7
140.074 10207
150.079 10211.5
160.084 10215.9
170.09 10220.2
180.095 10224.5
190.1 10228.9
200.105 10233.3
210.111 10237.7
220.116 10242.1
230.121 10246.5
240.126 10250.8
250.132 10255.1
260.137 10259.5
270.142 10263.9
280.147 10268.4
290.153 10272.9
300.158 10277.4
310.163 10281.9
320.169 10286.3
330.174 10290.8
340.179 10295.3
350.184 10299.8
360.19 10304.3
370.195 10308.8
380.2 10313.3
390.205 10317.8
400.211 10322.2
