Position Zeitstempel
10.0053 21537.4
20.0105 21543.8
30.0158 21550.3
40.0211 21556.9
50.0263 21563.6
60.0316 21570.1
70.0369 21576.8
80.0421 21583.4
90.0474 21590
100.053 21596.7
110.058 21603.3
120.063 21609.9
130.068 21616.6
140.074 21623
150.079 21629.5
160.084 21636.2
170.09 21642.6
180.095 21649.5
190.1 21656
200.105 21662.4
210.111 21668.9
220.116 21675.3
230.121 21681.6
240.126 21688.2
250.132 21694.8
260.137 21701.3
270.142 21707.9
280.147 21714.6
290.153 21721.1
300.158 21727.5
310.163 21734
320.169 21740.5
330.174 21746.9
340.179 21753.4
350.184 21760.1
360.19 21766.7
370.195 21773.3
380.2 21780.3
390.205 21786.7
400.211 21793.2
410.216 21799.6
420.221 21806.1
430.226 21812.6
440.232 21819.2
450.237 21825.7
460.242 21832.1
