X Y Z Distanz Orientierung Zeitstempel
3534.5 0 0 3534.5 0 0
3531.12 0.881306 0 3531.13 0.0143 0
3535 1.76455 0 3535 0.0286 0
3536.25 2.64775 0 3536.25 0.0429 0
3537.87 3.53196 0 3537.88 0.0572 0
3530.12 4.40528 0 3530.13 0.0715 0
3534.75 5.29326 0 3534.75 0.0858 0
3533.49 6.17328 0 3533.5 0.1001 0
3537.12 7.06242 0 3537.13 0.1144 0
3537.99 7.94719 0 3538 0.1287 0
3525.24 8.79838 0 3525.25 0.143 0
3546.61 9.7369 0 3546.63 0.1573 0
3532.36 10.5794 0 3532.38 0.1716 0
3535.48 11.4711 0 3535.5 0.1859 0
3537.23 12.3597 0 3537.25 0.2002 0
3536.23 13.2387 0 3536.25 0.2145 0
3535.97 14.1203 0 3536 0.2288 0
3534.84 14.9981 0 3534.88 0.2431 0
3536.71 15.8887 0 3536.75 0.2574 0
3537.96 16.7773 0 3538 0.2717 0
3542.33 17.6822 0 3542.38 0.286 0
3539.45 18.5512 0 3539.5 0.3003 0
3542.2 19.4497 0 3542.25 0.3146 0
3532.32 20.2771 0 3532.38 0.3289 0
3535.56 21.1782 0 3535.63 0.3432 0
3542.18 22.1019 0 3542.25 0.3575 0
3541.68 22.9827 0 3541.75 0.3718 0
3531.67 23.7993 0 3531.75 0.3861 0
3544.04 24.7672 0 3544.13 0.4004 0
3536.41 25.5965 0 3536.5 0.4147 0
3533.9 26.4604 0 3534 0.429 0
3539.77 27.3879 0 3539.88 0.4433 0
3540.26 28.2754 0 3540.38 0.4576 0
3540.88 29.1641 0 3541 0.4719 0
3539.75 30.0383 0 3539.88 0.4862 0
3535.12 30.8813 0 3535.25 0.5005 0
3539.11 31.7996 0 3539.25 0.5148 0
3529.72 32.5963 0 3529.88 0.5291 0
3538.47 33.5602 0 3538.63 0.5434 0
3531.96 34.3801 0 3532.13 0.5577 0
3537.45 35.3165 0 3537.63 0.572 0
3530.82 36.1316 0 3531 0.5863 0
3530.56 37.0102 0 3530.75 0.6006 0
3539.55 37.988 0 3539.75 0.6149 0
3538.04 38.8549 0 3538.25 0.6292 0
3532.9 39.6804 0 3533.13 0.6435 0
3530.89 40.5392 0 3531.13 0.6578 0
3534.51 41.4629 0 3534.75 0.6721 0
3545.37 42.4754 0 3545.63 0.6864 0
3536.74 43.2547 0 3537 0.7007 0
3540.72 44.1874 0 3541 0.715 0
3524.96 44.8706 0 3525.25 0.7293 0
3542.45 45.9775 0 3542.75 0.7436 0
3536.19 46.7789 0 3536.5 0.7579 0
3536.3 47.6632 0 3536.63 0.7722 0
3536.79 48.5526 0 3537.13 0.7865 0
3536.15 49.4266 0 3536.5 0.8008 0
3538.14 50.3376 0 3538.5 0.8151 0
3534.25 51.1646 0 3534.63 0.8294 0
3539.24 52.1203 0 3539.63 0.8437 0
3536.98 52.9699 0 3537.38 0.858 0
3537.34 53.8584 0 3537.75 0.8723 0
3539.83 54.78 0 3540.25 0.8866 0
3537.56 55.6281 0 3538 0.9009 0
3536.3 56.491 0 3536.75 0.9152 0
3531.29 57.2925 0 3531.75 0.9295 0
3542.64 58.3612 0 3543.13 0.9438 0
3528.76 59.0134 0 3529.25 0.9581 0
3539.74 60.0808 0 3540.25 0.9724 0
3538.48 60.9427 0 3539 0.9867 0
3532.09 61.7145 0 3532.63 1.001 0
