Position Zeitstempel
10.0053 9298.52
20.0105 9302.85
30.0158 9307.41
40.0211 9311.82
50.0263 9316.44
60.0316 9320.82
70.0369 9325.17
80.0421 9329.64
90.0474 9334.06
100.053 9338.44
110.058 9342.81
120.063 9347.2
130.068 9351.63
140.074 9356.21
150.079 9360.82
160.084 9365.2
170.09 9369.69
180.095 9374
190.1 9378.38
200.105 9382.76
210.111 9387.14
220.116 9391.46
230.121 9395.86
240.126 9400.26
250.132 9404.65
260.137 9409.04
270.142 9413.44
280.147 9417.88
290.153 9422.25
300.158 9426.67
310.163 9430.97
320.169 9435.35
330.174 9439.75
340.179 9444.15
350.184 9448.55
360.19 9452.98
370.195 9457.32
380.2 9461.72
390.205 9466.13
400.211 9470.54
