Position Zeitstempel
10.0053 9079.21
20.0105 9083.78
30.0158 9088.22
40.0211 9092.79
50.0263 9097.37
60.0316 9102.21
70.0369 9106.95
80.0421 9111.45
90.0474 9116.04
100.053 9120.63
110.058 9125.27
120.063 9129.72
130.068 9134.29
140.074 9138.99
150.079 9143.59
160.084 9148.19
170.09 9152.75
180.095 9157.29
190.1 9161.79
200.105 9166.33
210.111 9170.71
220.116 9175.2
230.121 9179.86
240.126 9184.27
250.132 9188.72
260.137 9193.24
270.142 9197.64
280.147 9202
290.153 9206.67
300.158 9211.27
310.163 9215.63
320.169 9220.01
330.174 9224.62
340.179 9229.27
350.184 9233.91
360.19 9238.32
370.195 9242.76
380.2 9247.29
390.205 9252.07
400.211 9256.87
