Position Zeitstempel
10.0053 7952.46
20.0105 7956.92
30.0158 7961.35
40.0211 7965.84
50.0263 7970.36
60.0316 7974.84
70.0369 7979.31
80.0421 7983.7
90.0474 7988.14
100.053 7992.6
110.058 7997.01
120.063 8001.38
130.068 8005.83
140.074 8010.34
150.079 8014.87
160.084 8019.35
170.09 8023.83
180.095 8028.34
190.1 8032.86
200.105 8037.31
210.111 8041.81
220.116 8046.32
230.121 8050.85
240.126 8055.34
250.132 8059.85
260.137 8064.35
270.142 8068.77
280.147 8073.27
290.153 8077.68
300.158 8082.11
310.163 8086.65
320.169 8091.08
330.174 8095.52
340.179 8100.04
350.184 8104.42
360.19 8109
370.195 8113.58
380.2 8117.99
390.205 8122.35
400.211 8127.09
