Position Zeitstempel
10.0053 7710.12
20.0105 7714.5
30.0158 7718.88
40.0211 7723.3
50.0263 7727.75
60.0316 7732.35
70.0369 7736.87
80.0421 7741.41
90.0474 7746.07
100.053 7750.69
110.058 7755.29
120.063 7759.8
130.068 7764.34
140.074 7768.8
150.079 7773.31
160.084 7777.88
170.09 7782.5
180.095 7787.01
190.1 7791.57
200.105 7796.19
210.111 7800.82
220.116 7805.36
230.121 7809.99
240.126 7814.52
250.132 7819.04
260.137 7823.7
270.142 7828.3
280.147 7832.9
290.153 7837.49
300.158 7842.2
310.163 7846.79
320.169 7851.4
330.174 7855.99
340.179 7860.54
350.184 7865.17
360.19 7869.79
370.195 7874.4
380.2 7878.95
390.205 7883.59
400.211 7888.21
