X Y Zeitstempel
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
1702.09 2581.35 14839
1694.28 2579.3 14839
1692.52 2586.44 14839
1691.28 2594.41 14839
0 0 14839
1676.24 2591.07 14839
0 0 14839
1657.46 2581.76 14839
1650.79 2581.27 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
0 0 14839
464.481 1053.12 14839
461.436 1051.18 14839
469.209 1073.98 14839
463.745 1066.54 14839
453.146 1047.16 14839
415.323 964.369 14839
394.73 920.974 14839
406.854 953.855 14839
407.142 959.166 14839
393.015 930.397 14839
402.241 956.894 14839
402.5 962.207 14839
401.589 964.755 14839
392.633 947.9 14839
381.451 925.471 14839
394.634 962.218 14839
388.798 952.721 14839
384.125 945.986 14839
379.476 939.237 14839
384.55 956.599 14839
381.395 953.555 14839
375.663 943.999 14839
369.229 932.566 14839
359.171 911.809 14839
377.283 962.712 14839
367.247 941.94 14839
360.178 928.595 14839
362.157 938.551 14839
363.743 947.584 14839
362.803 950.086 14839
358.658 944.174 14839
359.484 951.347 14839
361.693 962.269 14839
358.612 959.152 14839
348.223 936.345 14839
357.691 966.963 14839
348.061 946.001 14839
348.127 951.302 14839
348.519 957.547 14839
338.678 935.587 14839
340.432 945.585 14839
326.645 912.285 14839
324.717 911.912 14839
320.788 905.878 14839
340.797 967.746 14839
339.108 968.34 14839
337.746 969.875 14839
333.435 962.903 14839
334.684 971.993 14839
337.522 985.821 14839
333.867 980.729 14839
335.361 990.782 14839
332.675 988.522 14839
333.487 996.688 14839
330.169 992.524 14839
320.586 969.363 14839
322.017 979.421 14839
329.938 1009.45 14839
318.597 980.539 14839
313.811 971.578 14839
310.892 968.316 14839
317.411 994.579 14839
313.86 989.412 14839
311.23 987.097 14839
304.723 972.371 14839
307.783 988.177 14839
309.606 1000.18 14839
300.803 977.776 14839
301.435 985.95 14839
300.586 989.345 14839
302.327 1001.36 14839
303.74 1012.42 14839
297.116 996.655 14839
297.932 1005.8 14839
301.258 1023.59 14839
290.771 994.358 14839
286.803 987.182 14839
288.407 999.21 14839
290.797 1014.13 14839
286.561 1005.98 14839
282.899 999.744 14839
282.507 1005.05 14839
279.946 1002.65 14839
284.876 1027.23 14839
269.008 976.629 14839
284.191 1038.83 14839
282.116 1038.36 14839
279.261 1034.99 14839
