Position Zeitstempel
10.0053 22858.9
20.0105 22868.5
30.0158 22878.1
40.0211 22887.8
50.0263 22897.4
60.0316 22907
70.0369 22917.1
80.0421 22926.8
90.0474 22936.6
100.053 22946.5
110.058 22956.2
120.063 22966
130.068 22975.6
140.074 22985.3
150.079 22995
160.084 23004.7
170.09 23014.6
180.095 23024.2
190.1 23033.9
200.105 23043.5
210.111 23053.4
220.116 23063.2
230.121 23072.9
240.126 23082.6
250.132 23092.4
260.137 23102.2
270.142 23111.9
280.147 23121.7
290.153 23131.3
300.158 23141
310.163 23150.7
320.169 23160.3
330.174 23170.1
340.179 23179.7
350.184 23189.4
360.19 23199.2
370.195 23208.8
380.2 23218.8
390.205 23228.6
400.211 23238.3
