MittelwertX=1.537438MittelwertY=0 MittelwertZ=33.876094

X Y Z
1.27137 0 27.0148 
4.76697 0 27.0148 
0.690529 0 27.0148 
0.242649 0 27.0148 
1.27137 0 27.0148 
4.76697 0 30.6454 
0.690529 0 27.0148 
0.242649 0 30.6454 
2.84323 0 33.7376 
1.21412 0 30.1307 
0.716586 0 27.0148 
5.07774 0 30.6454 
1.27137 0 33.7376 
4.76697 0 30.1307 
0.690529 0 32.4967 
0.242649 0 27.0148 
2.84323 0 30.6454 
1.21412 0 33.7376 
0.716586 0 30.1307 
5.07774 0 32.4967 
0.862914 0 27.0148 
0.311487 0 30.6454 
0.583481 0 33.7376 
1.27137 0 30.1307 
4.76697 0 32.4967 
0.690529 0 34.977 
0.242649 0 27.0148 
2.84323 0 30.6454 
1.21412 0 33.7376 
0.716586 0 30.1307 
5.07774 0 32.4967 
0.862914 0 34.977 
0.311487 0 33.3912 
0.583481 0 27.0148 
5.07331 0 30.6454 
0.914401 0 33.7376 
0.144177 0 30.1307 
1.58491 0 32.4967 
1.27137 0 34.977 
4.76697 0 33.3912 
0.690529 0 27.0148 
0.242649 0 30.6454 
2.84323 0 33.7376 
1.21412 0 30.1307 
0.716586 0 32.4967 
5.07774 0 34.977 
0.862914 0 33.3912 
0.311487 0 27.0148 
0.583481 0 30.6454 
5.07331 0 33.7376 
0.914401 0 30.1307 
0.144177 0 32.4967 
1.58491 0 34.977 
1.01093 0 33.3912 
0.547573 0 36.2602 
1.27137 0 27.0148 
4.76697 0 30.6454 
0.690529 0 33.7376 
0.242649 0 30.1307 
2.84323 0 32.4967 
1.21412 0 34.977 
0.716586 0 33.3912 
5.07774 0 36.2602 
0.862914 0 36.16 
0.311487 0 36.7587 
0.583481 0 27.0148 
5.07331 0 30.6454 
0.914401 0 33.7376 
0.144177 0 30.1307 
1.58491 0 32.4967 
1.01093 0 34.977 
0.547573 0 33.3912 
1.3632 0 36.2602 
0.178456 0 36.16 
1.27137 0 36.7587 
4.76697 0 37.011 
0.690529 0 27.0148 
0.242649 0 30.6454 
2.84323 0 33.7376 
1.21412 0 30.1307 
0.716586 0 32.4967 
5.07774 0 34.977 
0.862914 0 33.3912 
0.311487 0 36.2602 
0.583481 0 36.16 
5.07331 0 36.7587 
0.914401 0 37.011 
0.144177 0 41.9782 
1.58491 0 37.5457 
1.01093 0 27.0148 
0.547573 0 30.6454 
1.3632 0 33.7376 
0.178456 0 30.1307 
1.48571 0 32.4967 
2.77938 0 34.977 
1.27137 0 33.3912 
4.76697 0 36.2602 
0.690529 0 36.16 
0.242649 0 36.7587 
2.84323 0 37.011 
1.21412 0 41.9782 
0.716586 0 37.5457 
5.07774 0 36.1424 
0.862914 0 27.0148 
0.311487 0 30.6454 
0.583481 0 33.7376 
5.07331 0 30.1307 
0.914401 0 32.4967 
0.144177 0 34.977 
1.58491 0 33.3912 
1.01093 0 36.2602 
0.547573 0 36.16 
1.3632 0 36.7587 
0.178456 0 37.011 
1.48571 0 41.9782 
2.77938 0 37.5457 
1.24646 0 36.1424 
5.53495 0 33.2849 
1.27137 0 38.172 
4.76697 0 27.0148 
0.690529 0 30.6454 
0.242649 0 33.7376 
2.84323 0 30.1307 
1.21412 0 32.4967 
0.716586 0 34.977 
5.07774 0 33.3912 
0.862914 0 36.2602 
0.311487 0 36.16 
0.583481 0 36.7587 
5.07331 0 37.011 
0.914401 0 41.9782 
0.144177 0 37.5457 
1.58491 0 36.1424 
1.01093 0 33.2849 
0.547573 0 38.172 
1.3632 0 36.7409 
0.178456 0 27.0148 
1.48571 0 30.6454 
2.77938 0 33.7376 
1.24646 0 30.1307 
