Position Zeitstempel
10.0053 12383.2
20.0105 12387.7
30.0158 12392.1
40.0211 12396.4
50.0263 12400.9
60.0316 12405.4
70.0369 12409.8
80.0421 12414.3
90.0474 12418.7
100.053 12423.3
110.058 12427.7
120.063 12432.2
130.068 12436.6
140.074 12441.1
150.079 12445.5
160.084 12449.9
170.09 12454.4
180.095 12458.8
190.1 12463.2
200.105 12467.6
210.111 12472
220.116 12476.4
230.121 12480.8
240.126 12485.3
250.132 12489.7
260.137 12494.2
270.142 12498.7
280.147 12503
290.153 12507.4
300.158 12511.8
310.163 12516.1
320.169 12520.6
330.174 12525.1
340.179 12529.5
350.184 12533.8
360.19 12538.3
370.195 12542.7
380.2 12547.2
390.205 12551.5
400.211 12556.1
