Position Zeitstempel
10.0053 12156.6
20.0105 12161.1
30.0158 12165.8
40.0211 12170.2
50.0263 12174.8
60.0316 12179.2
70.0369 12183.7
80.0421 12188.2
90.0474 12192.6
100.053 12197.1
110.058 12201.5
120.063 12206
130.068 12210.5
140.074 12215
150.079 12219.5
160.084 12224
170.09 12228.6
180.095 12233.1
190.1 12237.6
200.105 12242
210.111 12246.5
220.116 12250.9
230.121 12255.3
240.126 12260
250.132 12264.5
260.137 12269
270.142 12273.5
280.147 12278
290.153 12282.5
300.158 12287.1
310.163 12291.6
320.169 12296.2
330.174 12300.7
340.179 12305.3
350.184 12309.8
360.19 12314.4
370.195 12319
380.2 12323.5
390.205 12328
400.211 12332.4
