X Y Z RGB-R RGB-G RGB-B
1003.04 -311.357 0 47 211 221
984.688 -308.89 0 47 211 221
976.194 -309.433 0 47 211 221
965.385 -309.184 0 47 211 221
960.829 -310.893 0 47 211 221
949.916 -310.5 0 47 211 221
942.099 -311.064 0 47 211 221
929.782 -310.082 0 47 211 221
924.527 -311.402 0 47 211 221
915.546 -311.426 0 47 211 221
906.69 -311.439 0 47 211 221
899.91 -312.12 0 47 211 221
897.852 -314.415 0 47 211 221
883.238 -312.263 0 47 211 221
871.353 -310.993 0 47 211 221
867.715 -312.621 0 47 211 221
859.2 -312.456 0 25 93 98
854.8 -313.752 0 25 93 98
851.867 -315.566 0 25 93 98
853.437 -319.051 0 25 93 98
852.655 -321.666 0 135 206 147
852.216 -324.413 0 135 206 147
852.877 -327.585 0 135 206 147
853.642 -330.81 0 135 206 147
854.571 -334.11 0 125 70 239
853.511 -336.639 0 125 70 239
856.857 -341.087 0 125 70 239
852.76 -342.412 0 125 70 239
853.877 -345.826 0 125 70 239
850.352 -347.36 0 125 70 239
852.431 -351.185 0 125 70 239
853.109 -354.45 0 125 70 239
853.545 -357.625 0 84 137 128
856.33 -361.804 0 84 137 128
855.417 -364.434 0 84 137 128
855.416 -367.457 0 84 137 128
850.816 -368.496 0 84 137 128
852.746 -372.363 0 84 137 128
852.888 -375.463 0 84 137 128
854.676 -379.303 0 84 137 128
853.254 -381.727 0 84 137 128
855.3 -385.714 0 84 137 128
856.818 -389.483 0 84 137 128
857.753 -393.005 0 84 137 128
856.347 -395.461 0 84 137 128
856.182 -398.493 0 84 137 128
855.836 -401.448 0 84 137 128
858.645 -405.9 0 84 137 128
854.607 -407.119 0 84 137 128
855.753 -410.807 0 84 137 128
857.785 -414.941 0 84 137 128
856.541 -417.502 0 84 137 128
855.402 -420.115 0 84 137 128
858.792 -424.969 0 84 137 128
859.029 -428.287 0 84 137 128
859.588 -431.777 0 84 137 128
858.796 -434.598 0 108 55 216
857.438 -437.134 0 108 55 216
857.129 -440.208 0 108 55 216
857.475 -443.628 0 108 55 216
859.582 -447.979 0 32 125 91
857.631 -450.226 0 32 125 91
860.149 -454.832 0 32 125 91
862.979 -459.633 0 32 125 91
861.657 -462.239 0 236 194 55
855.268 -462.108 0 236 194 55
851.193 -463.198 0 236 194 55
849.806 -465.739 0 236 194 55
838.866 -463.192 0 236 194 55
837.533 -465.727 0 236 194 55
833.029 -466.486 0 236 194 55
822.649 -463.908 0 236 194 55
815.498 -463.092 0 236 194 55
818.397 -467.978 0 236 194 55
806.271 -464.246 0 236 194 55
801.258 -464.553 0 236 194 55
792.363 -462.565 0 236 194 55
791.193 -465.058 0 236 194 55
783.83 -463.886 0 236 194 55
783.836 -467.058 0 236 194 55
775.362 -465.154 0 236 194 55
769.475 -464.754 0 236 194 55
766.374 -466.012 0 236 194 55
763.379 -467.321 0 236 194 55
754.318 -464.878 0 236 194 55
751.651 -466.339 0 236 194 55
746.808 -466.431 0 236 194 55
744.353 -467.995 0 236 194 55
738.99 -467.71 0 236 194 55
738.433 -470.454 0 236 194 55
728.974 -467.496 0 236 194 55
728.309 -470.146 0 236 194 55
720.612 -468.234 0 236 194 55
717.432 -469.222 0 236 194 55
714.774 -470.539 0 236 194 55
710.916 -471.05 0 236 194 55
710.909 -474.108 0 6 51 63
709.852 -476.474 0 6 51 63
708.27 -478.488 0 6 51 63
708.646 -481.832 0 6 51 63
714.889 -489.207 0 249 33 4
712.549 -490.738 0 249 33 4
714.88 -495.5 0 249 33 4
712.013 -496.668 0 249 33 4
712.674 -500.302 0 121 144 53
713.167 -503.835 0 121 144 53
712.218 -506.362 0 121 144 53
713.193 -510.27 0 121 144 53
714.708 -514.59 0 121 144 53
714.736 -517.86 0 121 144 53
712.19 -519.45 0 121 144 53
716.076 -525.57 0 121 144 53
716.765 -529.378 0 214 153 143
717.086 -532.934 0 214 153 143
717.893 -536.871 0 214 153 143
715.287 -538.262 0 214 153 143
719.953 -545.151 0 15 218 22
713.747 -543.815 0 15 218 22
718.071 -550.508 0 15 218 22
716.225 -552.498 0 15 218 22
717.435 -556.859 0 212 158 103
714.536 -558.038 0 212 158 103
713.161 -560.402 0 212 158 103
714.376 -564.818 0 212 158 103
720.168 -572.903 0 212 158 103
719.917 -576.224 0 212 158 103
719.701 -579.588 0 212 158 103
716.752 -580.752 0 212 158 103
717.775 -585.142 0 168 43 212
720.179 -590.693 0 168 43 212
719.568 -593.797 0 168 43 212
717.598 -595.785 0 168 43 212
720.995 -602.253 0 126 30 242
716.369 -602.033 0 126 30 242
719.722 -608.529 0 126 30 242
720.138 -612.58 0 126 30 242
721.201 -617.208 0 126 30 242
