X Y Z RGB-R RGB-G RGB-B
1000.95 -310.503 0 80 114 137
997.964 -309.987 0 80 114 137
996.416 -309.914 0 80 114 137
975.296 -303.745 0 80 114 137
997.139 -310.956 0 80 114 137
987 -308.199 0 80 114 137
990.226 -309.612 0 80 114 137
986.293 -308.787 0 80 114 137
991.425 -310.8 0 80 114 137
989.878 -310.721 0 80 114 137
994.532 -312.59 0 80 114 137
977.722 -307.708 0 80 114 137
977.13 -307.923 0 80 114 137
993.227 -313.404 0 80 114 137
960.213 -303.381 0 80 114 137
990.609 -313.391 0 80 114 137
977.146 -309.534 0 80 114 137
980.843 -311.108 0 80 114 137
952.611 -302.545 0 80 114 137
983.946 -312.901 0 80 114 137
981.447 -312.51 0 80 114 137
979.901 -312.421 0 80 114 137
990.263 -316.132 0 80 114 137
966.808 -309.042 0 80 114 137
954.787 -305.593 0 80 114 137
958.482 -307.17 0 80 114 137
971.698 -311.806 0 80 114 137
969.677 -311.557 0 80 114 137
953.854 -306.866 0 80 114 137
978.963 -315.348 0 80 114 137
969.804 -312.797 0 80 114 137
961.598 -310.547 0 80 114 137
954.346 -308.599 0 80 114 137
973.734 -315.27 0 80 114 137
956.493 -310.082 0 80 114 137
948.293 -307.815 0 80 114 137
959.59 -311.879 0 80 114 137
955.194 -310.844 0 80 114 137
943.193 -307.329 0 80 114 137
939.751 -306.595 0 80 114 137
963.876 -314.864 0 80 114 137
954.729 -312.271 0 80 114 137
964.115 -315.74 0 80 114 137
949.744 -311.426 0 80 114 137
949.628 -311.781 0 80 114 137
950.461 -312.448 0 80 114 137
955.569 -314.522 0 80 114 137
929.808 -306.428 0 80 114 137
955.334 -315.236 0 80 114 137
942.397 -311.358 0 80 114 137
943.23 -312.024 0 80 114 137
948.335 -314.106 0 80 114 137
939.675 -311.627 0 80 114 137
930.542 -308.984 0 80 114 137
929.004 -308.858 0 80 114 137
945.492 -314.732 0 80 114 137
938.734 -312.872 0 80 114 137
933.4 -311.482 0 80 114 137
916.211 -306.126 0 80 114 137
935.538 -312.972 0 80 114 137
938.739 -314.433 0 80 114 137
942.888 -316.215 0 80 114 137
920.493 -309.086 0 80 114 137
912.32 -306.721 0 80 114 137
928.317 -312.485 0 80 114 137
928.674 -312.992 0 80 114 137
936.137 -315.897 0 80 114 137
920.861 -311.125 0 80 114 137
923.113 -312.27 0 80 114 137
924.417 -313.096 0 80 114 137
920.039 -311.996 0 80 114 137
932.705 -316.68 0 80 114 137
913.178 -310.43 0 80 114 137
919.215 -312.865 0 80 114 137
911.999 -310.79 0 80 114 137
911.883 -311.13 0 80 114 137
909.401 -310.663 0 80 114 137
904.081 -309.222 0 80 114 137
920.048 -315.068 0 80 114 137
913.782 -313.303 0 80 114 137
916.029 -314.456 0 80 114 137
913.548 -313.985 0 80 114 137
897.355 -308.795 0 80 114 137
884.949 -304.896 0 80 114 137
900.433 -310.607 0 80 114 137
900.79 -311.106 0 80 114 137
905.399 -313.077 0 80 114 137
895.36 -309.98 0 80 114 137
908.472 -314.899 0 80 114 137
900.796 -312.615 0 80 114 137
905.402 -314.593 0 80 114 137
889.229 -309.346 0 80 114 137
892.418 -310.829 0 80 114 137
896.079 -312.479 0 80 114 137
893.13 -311.825 0 80 114 137
897.261 -313.643 0 80 114 137
893.369 -312.657 0 80 114 137
897.971 -314.644 0 80 114 137
907.289 -318.29 0 80 114 137
885.47 -311.007 0 80 114 137
886.769 -311.835 0 80 114 137
897.5 -315.986 0 80 114 137
881.348 -310.669 0 80 114 137
880.289 -310.666 0 80 114 137
903.274 -319.156 0 80 114 137
876.757 -310.156 0 80 114 137
887.482 -314.323 0 80 114 137
875.583 -310.476 0 80 114 137
891.016 -316.324 0 80 114 137
871.111 -309.623 0 80 114 137
874.292 -311.122 0 80 114 137
882.183 -314.301 0 80 114 137
895.252 -319.334 0 80 114 137
872.531 -311.597 0 80 114 137
887.48 -317.31 0 80 114 137
879.83 -314.945 0 80 114 137
867.474 -310.888 0 80 114 137
873.476 -313.407 0 80 114 137
869.124 -312.212 0 80 114 137
861.009 -309.66 0 80 114 137
871.713 -313.877 0 80 114 137
875.829 -315.729 0 80 114 137
862.542 -311.303 0 80 114 137
866.658 -313.155 0 80 114 137
867.482 -313.818 0 80 114 137
867.834 -314.313 0 80 114 137
870.067 -315.489 0 80 114 137
856.32 -310.866 0 80 114 137
856.203 -311.186 0 80 114 137
846.69 -308.086 0 80 114 137
865.837 -315.419 0 80 114 137
864.779 -315.4 0 80 114 137
854.798 -312.122 0 80 114 137
864.543 -316.046 0 80 114 137
857.382 -313.791 0 80 114 137
847.875 -310.671 0 80 114 137
860.903 -315.809 0 80 114 137
848.582 -311.649 0 80 114 137
851.281 -313.001 0 80 114 137
847.879 -312.11 0 80 114 137
858.084 -316.231 0 80 114 137
848.115 -312.916 0 80 114 137
860.662 -317.911 0 80 114 137
861.95 -318.753 0 80 114 137
855.735 -316.818 0 80 114 137
837.801 -310.534 0 80 114 137
850.342 -315.543 0 80 114 137
858.661 -318.995 0 80 114 137
844.482 -314.087 0 80 114 137
851.862 -317.194 0 80 114 137
840.968 -313.495 0 80 114 137
846.94 -316.082 0 80 114 137
854.316 -319.198 0 80 114 137
841.553 -314.788 0 80 114 137
845.649 -316.68 0 80 114 137
836.636 -313.661 0 80 114 137
844.476 -316.96 0 80 114 137
842.954 -316.748 0 80 114 137
849.387 -319.528 0 80 114 137
856.286 -322.488 0 80 114 137
849.616 -320.338 0 80 114 137
857.916 -323.834 0 80 114 137
847.506 -320.266 0 80 114 137
855.336 -323.59 0 80 114 137
858.956 -325.326 0 80 114 137
843.874 -319.974 0 80 114 137
848.429 -322.064 0 80 114 137
851.58 -323.624 0 80 114 137
845.851 -321.809 0 80 114 137
857.412 -326.574 0 80 114 137
861.028 -328.319 0 80 114 137
850.628 -324.718 0 80 114 137
854.71 -326.642 0 80 114 137
852.253 -326.068 0 80 114 137
840.459 -321.915 0 80 114 137
851.076 -326.346 0 80 114 137
850.954 -326.664 0 80 114 137
847.565 -325.727 0 80 114 137
846.51 -325.684 0 80 114 137
853.854 -328.876 0 80 114 137
860.728 -331.893 0 80 114 137
856.873 -330.774 0 80 114 137
847.421 -327.489 0 80 114 137
848.698 -328.347 0 80 114 137
860.232 -333.178 0 80 114 137
849.851 -329.523 0 80 114 137
849.262 -329.659 0 80 114 137
855.663 -332.512 0 80 114 137
855.073 -332.65 0 80 114 137
849.358 -330.792 0 80 114 137
842.712 -328.567 0 80 114 137
853.302 -333.063 0 80 114 137
853.644 -333.563 0 80 114 137
865.626 -338.618 0 80 114 137
852.929 -334.019 0 80 114 137
850.476 -333.425 0 80 114 137
849.886 -333.56 0 80 114 137
844.177 -331.683 0 80 114 137
861.735 -338.953 0 80 114 137
851.373 -335.245 0 80 114 137
858.69 -338.496 0 80 114 137
849.262 -335.146 0 80 114 137
854.717 -337.668 0 80 114 137
850.406 -336.332 0 80 114 137
850.745 -336.834 0 80 114 137
856.605 -339.69 0 80 114 137
868.561 -344.807 0 80 114 137
851.705 -338.483 0 80 114 137
853.437 -339.541 0 80 114 137
849.594 -338.38 0 80 114 137
855.505 -341.104 0 80 114 137
859.093 -342.907 0 80 114 137
843.178 -336.919 0 80 114 137
852.337 -340.948 0 80 114 137
840.141 -336.434 0 80 114 137
837.695 -335.817 0 80 114 137
855.203 -343.207 0 80 114 137
864.817 -347.44 0 80 114 137
848.915 -341.42 0 80 114 137
849.715 -342.111 0 80 114 137
838.921 -338.129 0 80 114 137
854.096 -344.616 0 80 114 137
853.504 -344.748 0 80 114 137
853.839 -345.254 0 80 114 137
853.71 -345.573 0 80 114 137
853.117 -345.704 0 80 114 137
865.961 -351.285 0 80 114 137
857.491 -348.222 0 80 114 137
861.067 -350.049 0 80 114 137
854.915 -347.921 0 80 114 137
856.638 -348.994 0 80 114 137
849.1 -346.293 0 80 114 137
868.412 -354.548 0 80 114 137
846.989 -346.171 0 80 114 137
850.099 -347.812 0 80 114 137
844.88 -346.045 0 80 114 137
849.377 -348.258 0 80 114 137
853.409 -350.284 0 80 114 137
852.816 -350.412 0 80 114 137
835.576 -343.693 0 80 114 137
858.564 -353.524 0 80 114 137
840.866 -346.604 0 80 114 137
848.132 -349.97 0 80 114 137
848.925 -350.668 0 80 114 137
848.332 -350.794 0 80 114 137
856.517 -354.553 0 80 114 137
831.903 -344.728 0 80 114 137
855.79 -355.001 0 80 114 137
839.495 -348.61 0 80 114 137
858.756 -356.984 0 80 114 137
852.16 -354.615 0 80 114 137
855.259 -356.279 0 80 114 137
861.586 -359.293 0 80 114 137
853.147 -356.148 0 80 114 137
858.549 -358.78 0 80 114 137
861.183 -360.258 0 80 114 137
846.29 -354.4 0 80 114 137
852.613 -357.422 0 80 114 137
860.318 -361.03 0 80 114 137
854.651 -359.027 0 80 114 137
842.073 -354.113 0 80 114 137
847.47 -356.755 0 80 114 137
854.709 -360.179 0 80 114 137
852.271 -359.526 0 80 114 137
852.137 -359.844 0 80 114 137
852.923 -360.552 0 80 114 137
852.789 -360.871 0 80 114 137
850.812 -360.409 0 80 114 137
851.138 -360.922 0 80 114 137
853.304 -362.217 0 80 114 137
851.788 -361.949 0 80 114 137
860.395 -365.985 0 80 114 137
848.758 -361.41 0 80 114 137
851.842 -363.099 0 80 114 137
856.305 -365.379 0 80 114 137
861.687 -368.056 0 80 114 137
849.136 -363.07 0 80 114 137
854.976 -365.945 0 80 114 137
859.895 -368.431 0 80 114 137
834.484 -357.912 0 80 114 137
857.322 -368.087 0 80 114 137
847.538 -364.261 0 80 114 137
857.047 -368.727 0 80 114 137
856.909 -369.047 0 80 114 137
862.74 -371.94 0 80 114 137
870.406 -375.63 0 80 114 137
861.085 -371.99 0 80 114 137
858.652 -371.319 0 80 114 137
846.583 -366.475 0 80 114 137
849.198 -367.984 0 80 114 137
851.354 -369.296 0 80 114 137
848.465 -368.419 0 80 114 137
863.001 -375.114 0 80 114 137
845.438 -367.856 0 80 114 137
843.926 -367.573 0 80 114 137
869.455 -379.079 0 80 114 137
853.732 -372.603 0 80 114 137
847.179 -370.12 0 80 114 137
847.957 -370.837 0 80 114 137
855.605 -374.562 0 80 114 137
862.334 -377.892 0 80 114 137
860.361 -377.411 0 80 114 137
847.859 -372.304 0 80 114 137
853.213 -375.035 0 80 114 137
843.004 -370.924 0 80 114 137
846.069 -372.649 0 80 114 137
852.335 -375.789 0 80 114 137
850.822 -375.502 0 80 114 137
840.163 -371.173 0 80 114 137
865.174 -382.609 0 80 114 137
864.574 -382.729 0 80 114 137
863.06 -382.445 0 80 114 137
842.349 -373.644 0 80 114 137
856.376 -380.249 0 80 114 137
848.467 -377.116 0 80 114 137
859.29 -382.311 0 80 114 137
852.296 -379.58 0 80 114 137
853.524 -380.51 0 80 114 137
849.729 -379.198 0 80 114 137
859.631 -384.002 0 80 114 137
856.748 -383.099 0 80 114 137
853.867 -382.193 0 80 114 137
867.413 -388.645 0 80 114 137
852.669 -382.421 0 80 114 137
857.087 -384.788 0 80 114 137
852.383 -383.058 0 80 114 137
859.08 -386.453 0 80 114 137
844.802 -380.41 0 80 114 137
846.483 -381.547 0 80 114 137
857.279 -386.799 0 80 114 137
854.4 -385.884 0 80 114 137
842.866 -381.054 0 80 114 137
860.945 -389.614 0 80 114 137
848.957 -384.572 0 80 114 137
849.724 -385.302 0 80 114 137
854.589 -387.892 0 80 114 137
861.272 -391.314 0 80 114 137
835.183 -379.837 0 80 114 137
848.238 -386.157 0 80 114 137
855.373 -389.791 0 80 114 137
852.498 -388.865 0 80 114 137
855.082 -390.43 0 80 114 137
860.848 -393.451 0 80 114 137
856.154 -391.692 0 80 114 137
862.372 -394.927 0 80 114 137
849.952 -389.623 0 80 114 137
852.533 -391.192 0 80 114 137
853.75 -392.136 0 80 114 137
857.238 -394.126 0 80 114 137
848.461 -390.474 0 80 114 137
849.677 -391.419 0 80 114 137
859.066 -396.133 0 80 114 137
853.47 -393.939 0 80 114 137
843.791 -389.854 0 80 114 137
851.361 -393.737 0 80 114 137
861.65 -398.886 0 80 114 137
854.242 -395.845 0 80 114 137
847.29 -393.008 0 80 114 137
851.678 -395.43 0 80 114 137
846.996 -393.641 0 80 114 137
858.183 -399.229 0 80 114 137
848.515 -395.118 0 80 114 137
853.806 -397.969 0 80 114 137
859.548 -401.036 0 80 114 137
