X;Y;Z;ROT;GRüN;BLAU;STEIGUNG;;;;;;;;;
988,173;-265,141;0;104;22;117;0,0759847;;;;;;;;;
966,567;-262,442;0;104;22;117;0,0759847;;;;;;;;;
958,064;-263,21;0;104;22;117;0,0759847;;;;;;;;;
949,807;-263,996;0;104;22;117;0,0759847;;;;;;;;;
941,312;-264,667;0;104;22;117;0,0759847;;;;;;;;;
933,363;-265,444;0;104;22;117;0,0759847;;;;;;;;;
925,899;-266,314;0;104;22;117;0,0759847;;;0,0381;-300,61;;;;;
912,076;-265,292;0;104;22;117;0,0759847;;;-9,617;7748,6;;;;;
904,204;-265,935;0;104;22;117;0,0759847;;;0,0794;-488,78;;;;;
896,216;-266,498;0;104;22;117;0,0759847;;;-8,022;5166;;;;;
888,413;-267,069;0;104;22;117;0,0759847;;;;;;;;;
878,402;-266,924;0;104;22;117;0,0759847;;;;;;;;;
868,34;-266,703;0;104;22;117;0,0759847;;;y = 0,0172x - 328,67;;;;;;
858,228;-266,406;0;104;22;117;0,0759847;;;y = -11,752x + 9656,4;;;;;;
857,607;-269,026;0;104;22;117;0,0759847;;;y = 0,0272x - 488,81;;;;;;
851,914;-270,038;0;104;22;117;0,0759847;;;y = -11,696x + 7820;;;;;;
836,758;-267,988;0;104;22;117;0,0759847;;;;;;;;;
838,867;-271,43;0;104;22;117;0,0759847;;;;;;;;;
835,201;-273,004;0;104;22;117;0,0759847;;;;;;;;;
835,925;-276,007;0;104;22;117;0,0759847;;;;;;Steigung;Korr;;
835,215;-278,543;0;104;22;117;0,0759847;;;;;Gerade 1;0,0172;-328,67;;
835,563;-281,437;0;104;22;117;0,0759847;;Schnittpunkt;;;Gerade 2;-11,752;9656,4;;
839,097;-285,422;0;147;109;53;-8,83093;;X;Y;;Gerade 3;0,0272;-488,81;;
835,226;-286,892;0;147;109;53;-8,83093;;848,407;-314,077;;Gerade 4;-11,696;7820;;
832,121;-288,608;0;147;109;53;-8,83093;;861,282;-465,383;;;;;;
838,865;-293,758;0;147;109;53;-8,83093;;708,749;-469,532;;;;;;
836,215;-295,638;0;147;109;53;-8,83093;;;;;;;;;
840,037;-299,816;0;147;109;53;-8,83093;;;;;;;;;
838,079;-301,944;0;147;109;53;-8,83093;;Länge zwischen den Schnittpunkte;;;Referenzlängen;;Winkel;;
835,353;-303,784;0;147;109;53;-8,83093;;Gerade 1;151,8525209;;148;;z;0,225735037;12,93366491
839,839;-308,26;0;147;109;53;-8,83093;;Gerade 2;152,5888477;;149;;x;0,217313154;12,45112654
837,566;-310,269;0;147;109;53;-8,83093;;;;;;;;;
838,392;-313,427;0;147;109;53;-8,83093;;;;;;;;;
838,562;-316,35;0;147;109;53;-8,83093;;151,8525209;;;;;;;
837,906;-318,965;0;147;109;53;-8,83093;;;;;;;;;
838,232;-321,96;0;147;109;53;-8,83093;;;;;;;;;
838,199;-324,825;0;147;109;53;-8,83093;;;;;;;;;
838,447;-327,806;0;147;109;53;-8,83093;;;;;;;;;
840,603;-331,548;0;147;109;53;-8,83093;;;;;;;;;
841,702;-335,054;0;147;109;53;-8,83093;;;;;;;;;
841,103;-337,731;0;147;109;53;-8,83093;;;;;;;;;
840,437;-340,383;0;147;109;53;-8,83093;;;;;;;;;
