X;Y;Z;ROT;GRüN;BLAU;STEIGUNG;;;;;
994,588;-311,996;0;104;22;117;0,211724;;;;;
982,51;-311,435;0;104;22;117;0,211724;;;;;
966,218;-309,451;0;104;22;117;0,211724;;;;;
968,857;-313,491;0;104;22;117;0,211724;;;;;
956,391;-312,617;0;104;22;117;0,211724;;0,0157;-327,28;;
945,72;-312,26;0;104;22;117;0,211724;;-10,241;8362;;
938,853;-313,107;0;104;22;117;0,211724;;0,0256;-487,58;;
932,05;-313,936;0;104;22;117;0,211724;;-5,5579;3440,2;;y = -5,5579x + 3440,2
916,788;-311,848;0;104;22;117;0,211724;;;;;
908,759;-312,15;0;104;22;117;0,211724;;;;;
904,457;-313,697;0;104;22;117;0,211724;;847,1808671;-313,9792604;;
896,378;-313,898;0;104;22;117;0,211724;;861,9776752;-465,5133715;;
885,772;-313,159;0;104;22;117;0,211724;;703,4619862;-469,5713732;;
879,181;-313,787;0;104;22;117;0,211724;;;;;
867,597;-312,578;0;104;22;117;0,211724;;;;;
863,722;-314,101;0;104;22;117;0,211724;;152,2548271;;;
857,969;-314,915;0;104;22;117;0,211724;;158,5676229;;;
854,387;-316,5;0;104;22;117;0,211724;;;;;
851,037;-318,154;0;104;22;117;0,211724;;;;;
847,159;-319,593;0;104;22;117;0,211724;;;;;
851,866;-324,279;0;104;22;117;0,211724;;;;;
853,343;-327,764;0;104;22;117;0,211724;;13,58406894;;;
853,409;-330,719;0;104;22;117;0,211724;;;;;
854,105;-333,928;0;104;22;117;0,211724;;;;;
855,313;-337,35;0;104;22;117;0,211724;;;;;
850,644;-338,614;0;104;22;117;0,211724;;;;;
851,6;-341,946;0;104;22;117;0,211724;;;;;
853,298;-345,592;0;104;22;117;0,211724;;;;;
850,815;-347,549;0;104;22;117;0,211724;;;;;
853,066;-351,447;0;104;22;117;0,211724;;;;;
854,437;-355,001;0;104;22;117;0,211724;;;;;
853,718;-357,698;0;104;22;117;0,211724;;;;;
852,357;-360,125;0;104;22;117;0,211724;;;;;
854,497;-364,042;0;147;109;53;-7,09304;;;;;
852,315;-366,125;0;147;109;53;-7,09304;;;;;
852,249;-369,117;0;147;109;53;-7,09304;;;;;
853,376;-372,638;0;147;109;53;-7,09304;;;;;
853,003;-375,513;0;147;109;53;-7,09304;;;;;
856,561;-380,139;0;147;109;53;-7,09304;;;;;
851,029;-380,732;0;147;109;53;-7,09304;;;;;
853,648;-384,969;0;147;109;53;-7,09304;;;;;
