X;Y;Z;ROT;GRüN;BLAU;STEIGUNG;;;;;;;
1003,04;-311,357;0;47;211;221;0,0220108;;;;;;;
984,688;-308,89;0;47;211;221;0,0220108;;y = 0,0235x - 332,97;;;;;
976,194;-309,433;0;47;211;221;0,0220108;;-12,654x + 10441;;;;;
965,385;-309,184;0;47;211;221;0,0220108;;= 0,0413x - 498,35;;;;;
960,829;-310,893;0;47;211;221;0,0220108;;= -8,9539x + 5870,9;;;;;
949,916;-310,5;0;47;211;221;0,0220108;;;;;;;
942,099;-311,064;0;47;211;221;0,0220108;;0,0235;-332,97;;;;
929,782;-310,082;0;47;211;221;0,0220108;;-12,654;10441;;-12,6953;;87,86305855
924,527;-311,402;0;47;211;221;0,0220108;;0,0413;-498,35;;0,4773898;;
915,546;-311,426;0;47;211;221;0,0220108;;-8,9539;5870,9;;;;
906,69;-311,439;0;47;211;221;0,0220108;;;;;;;
899,91;-312,12;0;47;211;221;0,0220108;;849,8497338;-312,9985313;;150,2307995;;7,340585281
897,852;-314,415;0;47;211;221;0,0220108;;861,685033;-462,7624081;;153,7439024;;14,27287856
883,238;-312,263;0;47;211;221;0,0220108;;708,0720829;-469,106623;;;;
871,353;-310,993;0;47;211;221;0,0220108;;;;;;;
867,715;-312,621;0;47;211;221;0,0220108;;;;;;;
859,2;-312,456;0;25;93;98;0,616974;;;;;;;
854,8;-313,752;0;25;93;98;0,616974;;y = 0,0228x - 333,07;;;;;
851,867;-315,566;0;25;93;98;0,616974;;y = -2,0146x + 1329;;;;;
853,437;-319,051;0;25;93;98;0,616974;;= 0,0557x - 509,57;;;;;
852,655;-321,666;0;135;206;147;-5,34182;;= -3,0852x + 1648,9;;;;;
852,216;-324,413;0;135;206;147;-5,34182;;;;;;;
852,877;-327,585;0;135;206;147;-5,34182;;;;;;;
853,642;-330,81;0;135;206;147;-5,34182;;;;;;;
854,571;-334,11;0;125;70;239;1,68317;;;;;;;
853,511;-336,639;0;125;70;239;1,68317;;;;;;;
856,857;-341,087;0;125;70;239;1,68317;;;;;;;
852,76;-342,412;0;125;70;239;1,68317;;;;;;;
853,877;-345,826;0;125;70;239;1,68317;;;;;;;
850,352;-347,36;0;125;70;239;1,68317;;;;;;;
852,431;-351,185;0;125;70;239;1,68317;;;;;;;
853,109;-354,45;0;125;70;239;1,68317;;;;;;;
853,545;-357,625;0;84;137;128;-7,25448;;;;;;;
856,33;-361,804;0;84;137;128;-7,25448;;;;;;;
855,417;-364,434;0;84;137;128;-7,25448;;;;;;;
855,416;-367,457;0;84;137;128;-7,25448;;;;;;;
850,816;-368,496;0;84;137;128;-7,25448;;;;;;;
852,746;-372,363;0;84;137;128;-7,25448;;;;;;;
852,888;-375,463;0;84;137;128;-7,25448;;;;;;;
854,676;-379,303;0;84;137;128;-7,25448;;;;;;;
853,254;-381,727;0;84;137;128;-7,25448;;;;;;;
855,3;-385,714;0;84;137;128;-7,25448;;;;;;;
856,818;-389,483;0;84;137;128;-7,25448;;;;;;;
857,753;-393,005;0;84;137;128;-7,25448;;;;;;;
856,347;-395,461;0;84;137;128;-7,25448;;;;;;;
856,182;-398,493;0;84;137;128;-7,25448;;;;;;;
855,836;-401,448;0;84;137;128;-7,25448;;;;;;;
858,645;-405,9;0;84;137;128;-7,25448;;;;;;;
854,607;-407,119;0;84;137;128;-7,25448;;;;;;;
855,753;-410,807;0;84;137;128;-7,25448;;;;;;;
