X;Y;Z;ROT;GRüN;BLAU;STEIGUNG;;;;
1000,95;-310,503;0;80;114;137;0,97004;;;;
997,964;-309,987;0;80;114;137;0,97004;;;;
996,416;-309,914;0;80;114;137;0,97004;;;;
975,296;-303,745;0;80;114;137;0,97004;;;;
997,139;-310,956;0;80;114;137;0,97004;;;;
987;-308,199;0;80;114;137;0,97004;;;;
990,226;-309,612;0;80;114;137;0,97004;;;;
986,293;-308,787;0;80;114;137;0,97004;;;;
991,425;-310,8;0;80;114;137;0,97004;;;;
989,878;-310,721;0;80;114;137;0,97004;;;;
994,532;-312,59;0;80;114;137;0,97004;;;;
977,722;-307,708;0;80;114;137;0,97004;;;;
977,13;-307,923;0;80;114;137;0,97004;;;;
993,227;-313,404;0;80;114;137;0,97004;;;;
960,213;-303,381;0;80;114;137;0,97004;;;;
990,609;-313,391;0;80;114;137;0,97004;;;;
977,146;-309,534;0;80;114;137;0,97004;;;;
980,843;-311,108;0;80;114;137;0,97004;;;;
952,611;-302,545;0;80;114;137;0,97004;;;;
983,946;-312,901;0;80;114;137;0,97004;;;;
981,447;-312,51;0;80;114;137;0,97004;;;;
979,901;-312,421;0;80;114;137;0,97004;;;;
990,263;-316,132;0;80;114;137;0,97004;;;;
966,808;-309,042;0;80;114;137;0,97004;;;;
954,787;-305,593;0;80;114;137;0,97004;;;;
958,482;-307,17;0;80;114;137;0,97004;;;;
971,698;-311,806;0;80;114;137;0,97004;;;;
969,677;-311,557;0;80;114;137;0,97004;;;;
953,854;-306,866;0;80;114;137;0,97004;;;;
978,963;-315,348;0;80;114;137;0,97004;;;;
969,804;-312,797;0;80;114;137;0,97004;;;;
961,598;-310,547;0;80;114;137;0,97004;;;;
954,346;-308,599;0;80;114;137;0,97004;;;;
973,734;-315,27;0;80;114;137;0,97004;;;;
956,493;-310,082;0;80;114;137;0,97004;;;;
948,293;-307,815;0;80;114;137;0,97004;;;;
959,59;-311,879;0;80;114;137;0,97004;;;;
955,194;-310,844;0;80;114;137;0,97004;;;;
943,193;-307,329;0;80;114;137;0,97004;;;;
939,751;-306,595;0;80;114;137;0,97004;;;;
963,876;-314,864;0;80;114;137;0,97004;;;;
954,729;-312,271;0;80;114;137;0,97004;;;;
964,115;-315,74;0;80;114;137;0,97004;;;;
949,744;-311,426;0;80;114;137;0,97004;;;;
949,628;-311,781;0;80;114;137;0,97004;;;;
950,461;-312,448;0;80;114;137;0,97004;;;;
955,569;-314,522;0;80;114;137;0,97004;;;;
929,808;-306,428;0;80;114;137;0,97004;;;;
955,334;-315,236;0;80;114;137;0,97004;;;;
942,397;-311,358;0;80;114;137;0,97004;;;;
943,23;-312,024;0;80;114;137;0,97004;;;;
948,335;-314,106;0;80;114;137;0,97004;;;;
939,675;-311,627;0;80;114;137;0,97004;;;;
930,542;-308,984;0;80;114;137;0,97004;;;;
929,004;-308,858;0;80;114;137;0,97004;;;;
945,492;-314,732;0;80;114;137;0,97004;;;;
938,734;-312,872;0;80;114;137;0,97004;;;;
933,4;-311,482;0;80;114;137;0,97004;;;;
916,211;-306,126;0;80;114;137;0,97004;;;;
935,538;-312,972;0;80;114;137;0,97004;;;;
938,739;-314,433;0;80;114;137;0,97004;;;;
942,888;-316,215;0;80;114;137;0,97004;;;;
