Position Zeitstempel
10.0053 11675.2
20.0105 11679.7
30.0158 11684.3
40.0211 11688.9
50.0263 11693.3
60.0316 11697.7
70.0369 11702.5
80.0421 11706.9
90.0474 11711.5
100.053 11716
110.058 11720.4
120.063 11724.8
130.068 11729.2
140.074 11733.9
150.079 11738.3
160.084 11742.8
170.09 11747.2
180.095 11751.7
190.1 11756
200.105 11760.4
210.111 11764.7
220.116 11769.1
230.121 11773.5
240.126 11777.9
250.132 11782.3
260.137 11786.8
270.142 11791
280.147 11795.5
290.153 11799.7
300.158 11804.2
310.163 11808.7
320.169 11813.1
330.174 11817.5
340.179 11822
350.184 11826.3
360.19 11830.7
370.195 11835
380.2 11839.3
390.205 11843.7
400.211 11848
