Position Zeitstempel
10.0053 11413.3
20.0105 11417.7
30.0158 11422.2
40.0211 11426.6
50.0263 11431.1
60.0316 11435.5
70.0369 11440.1
80.0421 11444.6
90.0474 11449.1
100.053 11453.6
110.058 11458.1
120.063 11462.6
130.068 11467.1
140.074 11471.6
150.079 11476.2
160.084 11480.6
170.09 11485.2
180.095 11489.7
190.1 11494.1
200.105 11498.6
210.111 11503
220.116 11507.5
230.121 11511.9
240.126 11516.5
250.132 11521
260.137 11525.4
270.142 11529.9
280.147 11534.6
290.153 11539.1
300.158 11543.6
310.163 11548.2
320.169 11552.7
330.174 11557.2
340.179 11561.9
350.184 11566.6
360.19 11571
370.195 11575.4
380.2 11579.8
390.205 11584.3
400.211 11589
