Position Zeitstempel
10.0053 13607
20.0105 13611.4
30.0158 13616
40.0211 13620.5
50.0263 13625
60.0316 13629.4
70.0369 13633.8
80.0421 13638.1
90.0474 13642.6
100.053 13647
110.058 13651.5
120.063 13655.9
130.068 13660.3
140.074 13664.7
150.079 13669.1
160.084 13673.6
170.09 13678
180.095 13682.4
190.1 13686.7
200.105 13691.1
210.111 13695.5
220.116 13700
230.121 13704.3
240.126 13708.7
250.132 13713
260.137 13717.4
270.142 13721.9
280.147 13726.1
290.153 13730.5
300.158 13734.7
310.163 13739.1
320.169 13743.4
330.174 13747.8
340.179 13752.2
350.184 13756.6
360.19 13761
370.195 13765.4
380.2 13769.7
390.205 13774
400.211 13778.3
