Position Zeitstempel
10.0053 13351
20.0105 13355.6
30.0158 13360.1
40.0211 13364.8
50.0263 13369.4
60.0316 13373.9
70.0369 13378.4
80.0421 13383
90.0474 13387.5
100.053 13392.2
110.058 13396.7
120.063 13401.3
130.068 13405.8
140.074 13410.5
150.079 13415.1
160.084 13419.9
170.09 13424.6
180.095 13429.6
190.1 13434.2
200.105 13438.7
210.111 13443.3
220.116 13447.9
230.121 13452.4
240.126 13456.9
250.132 13461.4
260.137 13466.1
270.142 13470.8
280.147 13475.4
290.153 13479.9
300.158 13484.7
310.163 13489.2
320.169 13493.7
330.174 13498.2
340.179 13502.6
350.184 13507.2
360.19 13511.7
370.195 13516.3
380.2 13520.9
390.205 13525.5
400.211 13530.1
