MittelwertX=54.164083MittelwertY=0 MittelwertZ=6.371509

X Y Z
52.9792 0 6.61755 
52.9792 0 6.61755 
52.9792 0 6.61755 
53.8896 0 6.31605 
52.9792 0 6.61755 
53.8896 0 6.31605 
54.2808 0 6.99958 
55.0777 0 6.61755 
52.9792 0 6.31605 
53.8896 0 6.99958 
54.2808 0 6.58329 
55.0777 0 6.61755 
54.2415 0 6.31605 
52.9792 0 6.99958 
53.8896 0 6.58329 
54.2808 0 6.22804 
55.0777 0 6.61755 
54.2415 0 6.31605 
52.9605 0 6.99958 
52.9792 0 6.58329 
53.8896 0 6.22804 
54.2808 0 6.61755 
55.0777 0 6.31605 
54.2415 0 6.99958 
52.9605 0 6.58329 
52.9792 0 6.22804 
53.8896 0 6.899 
54.2808 0 6.61755 
55.0777 0 6.31605 
54.2415 0 6.99958 
52.9605 0 6.58329 
53.9235 0 6.22804 
52.9792 0 6.899 
53.8896 0 6.24289 
54.2808 0 6.61755 
55.0777 0 6.31605 
54.2415 0 6.99958 
52.9605 0 6.58329 
53.9235 0 6.22804 
55.7309 0 6.899 
52.9792 0 6.24289 
53.8896 0 6.53428 
54.2808 0 6.61755 
55.0777 0 6.31605 
54.2415 0 6.99958 
52.9605 0 6.58329 
53.9235 0 6.22804 
55.7309 0 6.899 
55.5047 0 6.24289 
52.9792 0 6.53428 
53.8896 0 6.61207 
54.2808 0 6.61755 
55.0777 0 6.31605 
54.2415 0 6.99958 
52.9605 0 6.58329 
53.9235 0 6.22804 
55.7309 0 6.899 
55.5047 0 6.24289 
54.0429 0 6.53428 
52.9792 0 6.61207 
53.8896 0 5.03391 
54.2808 0 6.61755 
55.0777 0 6.31605 
54.2415 0 6.99958 
52.9605 0 6.58329 
53.9235 0 6.22804 
55.7309 0 6.899 
55.5047 0 6.24289 
54.0429 0 6.53428 
52.3268 0 6.61207 
52.9792 0 5.03391 
53.8896 0 6.61755 
54.2808 0 6.31605 
55.0777 0 6.99958 
54.2415 0 6.58329 
52.9605 0 6.22804 
53.9235 0 6.899 
55.7309 0 6.24289 
55.5047 0 6.53428 
54.0429 0 6.61207 
52.3268 0 5.03391 
56.4256 0 6.61755 
52.9792 0 6.31605 
53.8896 0 6.99958 
54.2808 0 6.58329 
55.0777 0 6.22804 
54.2415 0 6.899 
52.9605 0 6.24289 
53.9235 0 6.53428 
55.7309 0 6.61207 
55.5047 0 5.03391 
54.0429 0 6.61755 
52.3268 0 6.31605 
56.4256 0 6.99958 
52.9792 0 6.58329 
53.8896 0 6.22804 
54.2808 0 6.899 
55.0777 0 6.24289 
54.2415 0 6.53428 
52.9605 0 6.61207 
53.9235 0 5.03391 
55.7309 0 6.61755 
55.5047 0 6.31605 
54.0429 0 6.99958 
52.3268 0 6.58329 
56.4256 0 6.22804 
52.9792 0 6.899 
53.8896 0 6.24289 
54.2808 0 6.53428 
55.0777 0 6.61207 
54.2415 0 5.03391 
52.9605 0 0.0690583 
53.9235 0 6.61755 
55.7309 0 6.31605 
55.5047 0 6.99958 
54.0429 0 6.58329 
52.3268 0 6.22804 
56.4256 0 6.899 
52.9792 0 6.24289 
53.8896 0 6.53428 
54.2808 0 6.61207 
55.0777 0 5.03391 
54.2415 0 0.0690583 
